@relation 'MainEncodedData-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,3-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,5-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,7-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,10-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,10-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,13-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,12-weka.filters.unsupervised.attribute.Remove-R1,3-10,12-34,44'

@attribute Attrition {0,1}
@attribute PerformanceRating {3,4}
@attribute BusinessTravel {0,1,2}
@attribute Education {1,2,3,4,5}
@attribute EnvironmentSatisfaction {1,2,3,4}
@attribute JobInvolvement {1,2,3,4}
@attribute JobLevel {1,2,3,4,5}
@attribute JobSatisfaction {1,2,3,4}
@attribute NumCompaniesWorked {0,1,2,3,4,5,6,7,8,9}
@attribute OverTime {0,1}
@attribute RelationshipSatisfaction {1,2,3,4}
@attribute TotalWorkingYears numeric
@attribute TrainingTimesLastYear {0,1,2,3,4,5,6}
@attribute WorkLifeBalance {1,2,3,4}
@attribute YearsAtCompany numeric
@attribute YearsSinceLastPromotion numeric
@attribute YearsWithCurrManager numeric
@attribute YearsInCurrentRole numeric

@data
0,3,2,1,1,2,2,3,7,0,4,20,2,2,4,1,3,3
0,4,1,3,3,3,1,2,0,0,4,6,3,3,5,0,4,4
0,3,1,4,3,3,1,2,1,0,2,1,4,3,1,1,0,1
0,3,1,3,2,3,2,2,1,0,2,10,3,3,10,0,9,4
0,3,1,3,2,4,1,4,3,0,2,5,3,3,1,0,0,0
0,4,1,4,3,3,2,4,1,0,4,11,2,3,11,1,8,7
0,3,1,4,3,2,2,1,0,0,2,16,2,3,15,2,8,13
0,3,1,4,4,3,3,1,4,1,2,17,3,4,0,0,0,0
0,3,1,4,1,3,3,3,4,0,1,16,3,4,5,0,2,2
0,4,1,2,2,3,2,2,8,1,4,16,2,3,4,0,2,2
0,3,1,1,4,2,2,4,1,1,3,10,1,2,10,3,0,8
0,3,1,3,2,2,1,3,1,0,1,6,3,3,6,0,4,4
0,3,1,2,1,3,3,4,3,0,4,24,4,3,1,1,0,0
0,3,0,3,2,1,2,4,7,1,4,17,3,3,13,1,9,11
0,3,1,2,1,3,2,2,1,0,3,5,2,3,5,1,3,2
0,3,1,3,4,1,3,4,4,0,1,37,3,2,6,0,2,4
0,3,1,1,3,3,1,1,3,0,3,3,3,3,0,0,0,0
0,4,1,4,4,3,1,4,3,0,2,10,4,3,4,0,3,2
0,3,1,3,3,2,2,4,1,0,1,11,3,3,11,10,8,10
1,3,1,2,3,2,3,4,1,0,4,9,3,3,9,4,7,8
0,4,2,4,3,2,4,2,1,0,4,22,3,2,22,11,11,3
0,4,1,4,3,3,2,4,0,1,4,11,2,1,10,1,0,7
0,3,1,2,3,2,2,2,1,1,2,11,4,2,11,2,7,8
0,3,2,3,3,2,3,1,2,1,3,21,5,2,10,9,5,9
0,3,1,4,2,3,2,3,1,0,1,12,0,3,11,5,7,8
0,3,1,4,1,3,3,3,9,0,1,16,5,1,4,0,3,3
0,4,1,2,1,3,2,3,0,0,1,4,2,2,3,0,2,2
0,3,0,3,2,3,2,3,1,0,2,5,3,4,5,0,4,4
0,3,1,4,4,3,4,3,0,0,3,38,1,2,37,1,8,10
0,3,0,3,2,3,2,2,4,0,3,17,3,4,3,1,2,2
1,4,1,4,3,3,1,1,4,1,4,7,3,3,3,0,2,2
0,3,1,1,4,3,1,1,1,0,4,1,2,3,1,0,0,0
1,3,2,3,4,2,1,4,1,1,2,1,5,3,1,1,0,0
0,3,1,4,1,3,2,3,1,0,3,16,3,3,16,2,10,13
0,3,0,2,3,2,2,4,5,0,4,17,2,4,1,0,0,0
0,4,0,4,3,2,5,4,9,0,4,30,3,3,3,2,2,2
0,3,2,3,1,3,5,2,3,1,1,28,1,2,8,0,7,3
1,3,1,3,3,2,2,3,1,1,4,6,1,3,6,0,3,4
0,3,1,1,4,2,1,4,1,0,3,2,2,3,2,2,1,2
0,3,1,3,2,3,1,4,1,0,3,1,5,3,0,0,0,0
0,4,2,4,1,2,3,1,3,0,3,23,1,2,13,12,8,12
1,4,2,3,1,1,2,3,1,1,4,9,3,3,9,0,6,7
0,3,0,3,4,4,4,4,2,1,3,23,3,3,5,4,4,3
0,3,1,1,2,3,1,3,0,0,3,6,2,3,5,1,2,3
0,3,1,4,3,2,2,2,6,0,3,12,3,3,1,0,0,0
0,3,1,3,3,3,3,4,2,0,1,12,3,3,5,1,3,3
0,3,1,3,3,2,3,1,2,0,4,14,6,3,11,5,8,10
0,3,2,2,2,3,3,4,0,0,3,10,6,3,9,2,8,7
0,4,1,2,1,3,1,4,5,0,1,7,2,3,1,0,0,0
0,3,2,2,3,3,4,4,1,1,4,25,3,4,25,4,12,12
0,4,2,3,1,1,1,3,1,0,3,10,2,2,10,0,9,7
0,3,0,2,3,3,2,2,0,0,1,8,2,4,7,0,7,7
1,3,1,4,2,3,1,2,9,1,1,7,2,3,5,4,3,4
0,3,1,3,1,3,5,3,7,0,3,23,5,3,20,15,15,18
1,3,1,4,2,1,2,3,4,1,2,12,3,2,7,7,7,7
0,3,1,3,3,2,1,2,1,0,3,5,3,2,5,4,3,4
1,3,1,4,4,3,3,4,1,0,4,40,3,2,40,15,6,10
1,3,1,1,4,3,1,3,1,1,4,0,2,2,0,0,0,0
0,3,1,1,3,3,1,4,0,0,3,3,2,3,2,2,1,1
0,3,1,4,3,3,2,1,1,0,3,16,2,2,15,5,11,11
0,3,2,3,2,4,1,3,4,0,4,18,2,3,3,1,2,2
0,3,2,3,3,3,3,4,4,0,4,16,3,3,2,2,1,2
1,3,1,3,2,1,2,3,3,1,3,4,2,3,2,2,2,2
0,3,1,1,3,3,3,3,3,1,3,12,2,3,9,0,7,7
0,4,1,1,3,3,1,3,1,0,4,8,3,3,8,5,7,7
0,4,1,2,2,3,2,2,6,0,4,7,0,3,3,0,1,2
1,3,2,4,1,1,3,4,2,0,4,18,2,3,4,0,3,2
0,3,1,4,4,2,2,3,4,0,3,17,1,4,15,5,9,11
0,3,1,3,1,2,2,3,2,0,4,6,3,3,2,2,2,2
0,3,1,3,3,3,2,4,0,1,4,12,2,1,11,4,7,9
1,4,1,3,1,3,1,1,7,0,1,10,2,4,5,0,4,4
0,3,1,3,3,3,1,4,5,0,2,9,2,2,6,0,3,5
0,4,1,5,4,3,2,3,3,1,2,19,2,3,3,2,2,2
0,3,1,3,1,3,1,3,1,0,3,5,4,2,5,0,4,4
0,3,2,2,4,1,2,4,0,0,4,9,2,4,8,0,7,7
0,3,1,3,4,3,1,1,5,0,4,8,3,3,3,2,2,2
0,3,1,1,2,2,1,4,0,0,4,6,3,3,5,1,2,3
0,3,2,3,4,2,4,1,4,0,2,21,2,2,7,7,7,6
0,4,1,4,3,3,1,1,2,0,4,7,2,3,5,1,4,0
0,3,1,1,2,3,1,2,1,0,4,1,3,3,1,0,0,0
0,3,2,3,2,3,2,2,1,0,1,20,2,3,20,2,13,7
0,3,1,5,3,3,3,2,1,0,1,10,3,3,10,0,6,8
0,4,1,2,2,3,2,3,2,1,4,13,3,1,7,4,5,7
0,3,1,3,2,3,2,2,8,0,3,20,2,1,17,0,15,9
0,3,2,3,2,3,3,4,1,0,4,9,2,3,9,3,7,8
0,3,0,1,4,3,2,3,1,0,1,10,1,3,10,0,9,7
0,3,1,4,2,2,2,3,2,0,3,10,2,3,1,0,0,0
0,4,1,3,2,2,1,2,4,1,2,9,3,2,1,0,0,0
0,3,1,4,3,2,3,4,7,0,1,15,2,2,12,2,11,11
0,3,2,4,3,3,1,3,6,0,4,6,3,3,4,1,2,3
0,4,1,1,3,3,1,4,1,0,1,2,6,3,2,2,2,2
0,3,0,3,4,3,1,2,6,0,4,6,1,1,2,2,2,2
0,3,1,3,3,3,1,4,1,0,3,5,2,1,5,0,2,2
0,3,1,2,3,4,3,4,3,1,2,12,2,1,5,1,4,3
0,3,0,3,3,2,1,3,1,1,4,1,2,2,1,0,1,1
0,3,1,3,3,3,5,2,3,0,2,21,5,3,5,4,4,4
0,3,1,3,1,3,1,3,4,0,1,13,2,3,9,1,8,8
0,3,1,3,2,3,3,4,2,0,3,12,2,3,10,7,4,9
0,4,1,4,1,2,2,4,4,0,3,12,2,4,8,0,7,3
0,4,1,5,3,3,1,3,3,0,1,8,2,3,5,1,4,4
0,3,1,3,3,3,1,2,0,1,4,6,3,2,5,1,1,2
1,4,2,1,3,1,1,1,0,0,1,1,5,4,0,0,0,0
0,3,2,2,4,3,1,2,4,0,3,13,3,2,8,7,2,7
0,3,0,3,3,3,2,1,1,0,3,12,4,3,12,6,10,9
0,3,1,2,3,3,2,1,4,1,1,9,3,4,5,0,3,4
0,3,1,3,3,3,1,1,4,1,3,19,3,3,2,2,2,2
0,3,1,3,3,3,1,4,0,0,1,4,2,4,3,0,2,1
1,4,1,3,2,2,1,4,1,0,3,1,3,2,1,1,0,0
0,4,1,2,2,3,3,1,1,0,3,24,2,3,24,15,7,13
0,3,1,2,3,3,1,4,1,0,3,2,3,3,2,2,1,2
0,4,1,1,3,3,1,4,8,1,3,7,0,3,4,0,2,2
0,3,1,2,4,3,1,2,2,0,4,9,3,3,3,1,2,2
1,4,1,2,2,3,1,2,1,1,4,4,5,2,4,0,2,3
0,3,1,3,3,2,1,3,2,0,4,5,2,2,3,0,2,2
0,3,1,2,4,4,2,1,1,0,3,5,3,3,4,1,3,2
0,3,1,3,4,3,1,2,1,0,4,8,5,3,8,1,6,7
0,3,1,1,4,3,5,3,1,0,2,21,2,3,20,9,9,8
0,3,1,4,3,4,5,2,8,0,4,36,3,3,24,2,15,15
0,3,2,1,4,2,2,3,1,0,3,10,2,2,10,1,9,9
0,3,1,3,4,3,4,2,3,0,3,21,6,3,7,1,0,7
0,3,1,4,3,2,5,3,0,0,1,34,5,3,33,11,9,18
0,3,1,3,4,3,1,2,1,0,4,7,2,2,7,0,3,7
1,3,1,2,2,2,2,3,3,1,1,8,1,3,1,0,1,0
0,3,0,3,4,4,1,4,4,0,4,7,3,4,5,2,2,4
0,4,0,2,1,2,4,4,9,0,4,22,1,3,20,11,8,8
0,3,1,3,2,4,1,1,1,1,1,8,3,2,8,1,7,7
0,3,2,3,2,3,2,2,5,0,4,10,5,3,6,1,2,2
0,3,0,2,3,3,2,3,2,0,2,11,5,3,5,0,2,3
0,3,1,4,4,3,2,3,9,0,2,14,3,3,1,0,0,0
0,3,1,3,4,3,2,4,3,0,1,9,3,1,7,1,7,7
0,3,2,1,3,2,2,1,5,0,3,6,1,3,2,2,0,2
0,3,0,4,4,3,2,4,1,1,1,7,0,3,7,1,7,7
0,3,2,4,4,3,1,3,1,1,4,5,4,4,5,2,0,3
0,3,1,2,3,3,2,4,8,1,3,15,2,4,7,3,7,2
1,3,1,1,2,3,2,1,7,1,2,17,2,3,1,0,0,0
1,4,1,3,2,3,3,4,1,0,4,10,3,2,10,1,9,4
0,3,1,3,4,4,1,2,1,1,1,4,2,2,4,2,2,2
0,3,2,1,2,3,1,4,1,0,1,8,2,3,8,1,7,1
0,3,0,5,4,2,2,4,9,0,4,5,5,1,3,0,2,2
0,3,1,4,4,3,3,1,7,0,3,17,3,3,4,0,3,2
1,3,1,4,4,1,3,4,1,0,3,14,2,2,14,9,8,8
0,4,0,1,3,2,3,3,1,0,3,12,2,3,11,5,8,8
0,3,2,3,4,3,2,3,1,0,4,7,2,3,7,0,7,7
0,3,1,4,2,2,3,2,5,0,4,16,5,1,10,4,7,9
1,3,1,3,4,3,1,1,5,1,3,8,5,3,5,0,4,2
0,3,1,3,4,3,3,4,3,1,3,16,3,3,1,0,0,0
1,3,2,4,3,2,2,1,5,0,3,9,5,2,6,0,1,3
1,3,1,3,3,3,1,3,0,0,4,7,1,2,6,1,5,2
0,3,0,3,4,2,3,4,6,0,4,23,2,3,19,12,8,7
0,3,1,3,4,3,2,1,2,0,4,16,4,3,6,0,5,2
0,3,1,2,4,3,2,2,8,0,4,16,3,4,13,3,7,11
0,4,1,4,3,2,1,2,6,0,4,7,3,3,3,1,1,2
0,3,2,3,2,3,3,4,1,1,3,10,1,3,10,0,7,8
0,3,1,3,1,3,3,3,0,0,3,17,6,2,16,5,13,10
0,3,0,4,3,1,2,3,0,0,4,6,2,3,5,1,4,4
0,3,1,3,3,2,1,4,3,0,1,7,6,3,1,0,0,0
0,3,2,4,1,3,1,4,4,0,3,13,2,3,9,5,8,8
0,3,2,1,2,3,3,4,1,0,4,11,5,3,11,4,1,10
0,3,2,3,3,3,3,3,1,0,1,10,3,4,10,0,8,7
1,3,1,1,3,2,1,4,1,1,3,4,3,2,4,0,1,3
0,3,1,3,3,2,1,4,7,0,2,6,3,2,2,2,2,2
0,3,1,2,3,3,5,4,1,0,4,22,3,3,22,11,15,17
0,3,1,2,2,3,1,3,8,0,4,7,2,2,2,2,2,2
0,3,1,4,4,3,5,4,3,0,3,32,3,2,7,0,6,0
1,3,1,3,3,3,1,4,5,1,3,8,2,1,5,0,4,4
0,4,1,3,4,3,4,4,5,1,3,22,3,3,17,1,9,13
1,4,1,2,1,3,1,1,7,0,1,13,3,4,9,1,7,7
0,3,0,4,1,2,5,3,1,1,4,33,2,4,33,15,12,7
0,3,1,2,3,3,1,2,2,0,1,6,5,3,4,1,2,3
1,3,1,3,4,2,1,3,0,1,4,4,2,1,3,1,2,2
0,3,1,4,3,3,1,3,7,0,3,7,1,3,3,1,2,2
0,3,0,4,3,3,2,4,0,0,1,4,2,3,3,2,2,2
0,3,1,2,3,3,2,1,2,0,1,17,2,2,1,0,0,0
0,3,1,2,1,3,2,4,1,0,1,9,3,3,9,4,7,8
0,3,1,3,3,4,5,4,0,0,3,25,2,3,24,1,7,0
0,3,2,4,2,3,3,3,9,0,1,9,3,3,2,2,2,2
0,3,1,4,3,2,1,4,1,0,3,2,2,2,2,0,2,2
0,3,1,4,4,2,2,1,6,0,2,13,3,3,11,5,9,9
