,Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
18,53,0,1,1219,2,4,1,23,1,78,2,4,4,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
19,38,0,1,371,2,3,1,24,4,45,3,1,4,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
20,24,0,0,673,11,2,1,26,1,96,4,2,3,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
21,36,1,1,1218,9,4,1,27,3,82,2,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
22,34,0,1,419,7,4,1,28,1,53,3,3,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
23,21,0,1,391,15,2,1,30,3,96,3,1,4,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
24,34,1,1,699,6,1,1,31,2,83,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
25,53,0,1,1282,5,3,1,32,3,58,3,5,3,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
26,32,1,2,1125,16,1,1,33,2,72,1,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
27,42,0,1,691,8,4,1,35,3,48,3,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
28,44,0,1,477,7,4,1,36,1,42,2,3,4,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
29,46,0,1,705,2,4,1,38,2,83,3,5,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
30,33,0,1,924,2,3,1,39,3,78,3,1,4,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
31,44,0,1,1459,10,4,1,40,4,41,3,2,4,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
32,30,0,1,125,9,2,1,41,4,83,2,1,3,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
33,39,1,1,895,5,3,1,42,4,56,3,2,4,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
34,24,1,1,813,1,3,1,45,2,61,3,1,4,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
35,43,0,1,1273,2,2,1,46,4,72,4,1,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
36,50,1,1,869,3,2,1,47,1,86,2,1,3,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
37,35,0,1,890,2,3,1,49,4,97,3,1,4,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
38,36,0,1,852,5,4,1,51,2,82,2,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
39,33,0,2,1141,1,3,1,52,3,42,4,2,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
40,35,0,1,464,4,2,1,53,3,75,3,1,4,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
41,27,0,1,1240,2,4,1,54,4,33,3,1,1,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
42,26,1,1,1357,25,3,1,55,1,48,1,1,3,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
43,27,0,2,994,8,3,1,56,4,37,3,3,3,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
44,30,0,2,721,1,2,1,57,3,58,3,2,4,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
45,41,1,1,1360,12,3,1,58,2,49,3,5,3,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
46,34,0,0,1065,23,4,1,60,2,72,3,2,3,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
47,37,0,1,408,19,2,1,61,2,73,3,1,2,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
48,46,0,2,1211,5,4,1,62,1,98,3,2,4,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
49,35,0,1,1229,8,1,1,63,4,36,4,1,4,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
50,48,1,1,626,1,2,1,64,1,98,2,3,3,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
51,28,1,1,1434,5,4,1,65,3,50,3,1,3,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
52,44,0,1,1488,1,5,1,68,2,75,3,2,1,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
53,35,0,0,1097,11,2,1,70,3,79,2,3,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
54,26,0,1,1443,23,3,1,72,3,47,2,2,4,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
55,33,0,2,515,1,2,1,73,1,98,3,3,4,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
56,35,0,2,853,18,5,1,74,2,71,3,3,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
57,35,0,1,1142,23,4,1,75,3,30,3,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
58,31,0,1,655,7,4,1,76,4,48,3,2,4,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
59,37,0,1,1115,1,4,1,77,1,51,2,2,3,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
60,32,0,1,427,1,3,1,78,1,33,3,2,4,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
61,38,0,2,653,29,5,1,79,4,50,3,2,4,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
62,50,0,1,989,7,2,1,80,2,43,2,5,3,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
63,59,0,1,1435,25,3,1,81,1,99,3,3,1,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
64,36,0,1,1223,8,3,1,83,3,59,3,3,3,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
65,55,0,1,836,8,3,1,84,4,33,3,4,3,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
66,36,0,2,1195,11,3,1,85,2,95,2,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
67,45,0,1,1339,7,3,1,86,2,59,3,3,1,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
68,35,0,2,664,1,3,1,88,2,79,3,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
69,36,1,1,318,9,3,1,90,4,79,2,1,3,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
70,59,0,2,1225,1,1,1,91,1,57,2,2,3,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
71,29,0,1,1328,2,3,1,94,3,76,3,1,2,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
72,31,0,1,1082,1,4,1,95,3,87,3,1,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
73,32,0,1,548,1,3,1,96,2,66,3,2,2,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
74,36,0,1,132,6,3,1,97,2,55,4,1,4,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
75,31,0,1,746,8,4,1,98,3,61,3,2,4,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
76,35,0,1,776,1,4,1,100,3,32,2,2,1,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
77,45,0,1,193,6,4,1,101,4,52,3,3,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
78,37,0,1,397,7,4,1,102,1,30,3,3,3,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
79,46,0,1,945,5,2,1,103,2,80,3,2,2,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
80,30,0,1,852,1,1,1,104,4,55,2,2,4,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
81,35,0,1,1214,1,3,1,105,2,30,2,1,3,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
82,55,0,1,111,1,2,1,106,1,70,3,3,4,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
83,38,0,0,573,6,3,1,107,2,79,1,2,4,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
84,34,0,1,1153,1,2,1,110,1,94,3,2,2,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
85,56,0,1,1400,7,3,1,112,4,49,1,3,4,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
86,23,0,1,541,2,1,1,113,3,62,3,1,1,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
87,51,0,1,432,9,4,1,116,4,96,3,1,4,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
88,30,0,1,288,2,3,1,117,3,99,2,2,4,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
89,46,1,1,669,9,2,1,118,3,64,2,3,4,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
90,40,0,2,530,1,4,1,119,3,78,2,4,2,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
91,51,0,1,632,21,4,1,120,3,71,3,2,4,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
92,30,0,1,1334,4,2,1,121,3,63,2,2,2,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
93,46,0,2,638,1,3,1,124,3,40,2,3,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
94,32,0,1,1093,6,4,1,125,2,87,3,2,3,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
95,54,0,1,1217,2,4,1,126,1,60,3,3,3,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
96,24,0,1,1353,3,2,1,128,1,33,3,2,3,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
97,28,0,0,120,4,3,1,129,2,43,3,2,3,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
98,58,0,1,682,10,4,1,131,4,37,3,4,3,13872,24409,0,0,13,3,3,0,38,1,2,37,10,1,8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
99,44,0,0,489,23,3,1,132,2,67,3,2,2,2042,25043,4,0,12,3,3,1,17,3,4,3,2,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
100,37,1,1,807,6,4,1,133,3,63,3,1,1,2073,23648,4,1,22,4,4,0,7,3,3,3,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
101,32,0,1,827,1,1,1,134,4,71,3,1,1,2956,15178,1,0,13,3,4,0,1,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
102,20,1,2,871,6,3,1,137,4,66,2,1,4,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
103,34,0,1,665,6,4,1,138,1,41,3,2,3,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
104,37,0,0,1040,2,2,1,139,3,100,2,2,4,5163,15850,5,0,14,3,4,1,17,2,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
105,59,0,0,1420,2,4,1,140,3,32,2,5,4,18844,21922,9,0,21,4,4,1,30,3,3,3,2,2,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
106,50,0,2,1115,1,3,1,141,1,73,3,5,2,18172,9755,3,1,19,3,1,0,28,1,2,8,3,0,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
107,25,1,1,240,5,3,1,142,3,46,2,2,3,5744,26959,1,1,11,3,4,0,6,1,3,6,4,0,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
108,25,0,1,1280,7,1,1,143,4,64,2,1,4,2889,26897,1,0,11,3,3,2,2,2,3,2,2,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
109,22,0,1,534,15,3,1,144,2,59,3,1,4,2871,23785,1,0,15,3,3,0,1,5,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
110,51,0,2,1456,1,4,1,145,1,30,2,3,1,7484,25796,3,0,20,4,3,0,23,1,2,13,12,12,8,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
111,34,1,2,658,7,3,1,147,1,66,1,2,3,6074,22887,1,1,24,4,4,0,9,3,3,9,7,0,6,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
112,54,0,0,142,26,3,1,148,4,30,4,4,4,17328,13871,2,1,12,3,3,0,23,3,3,5,3,4,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
113,24,0,1,1127,18,1,1,150,2,52,3,1,3,2774,13257,0,0,12,3,3,1,6,2,3,5,3,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
114,34,0,1,1031,6,4,1,151,3,45,2,2,2,4505,15000,6,0,15,3,3,1,12,3,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
115,37,0,1,1189,3,3,1,152,3,87,3,3,4,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
116,34,0,1,1354,5,3,1,153,3,45,2,3,1,11631,5615,2,0,12,3,4,0,14,6,3,11,10,5,8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
117,36,0,2,1467,11,2,1,154,2,92,3,3,4,9738,22952,0,0,14,3,3,1,10,6,3,9,7,2,8,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
118,36,0,1,922,3,2,1,155,1,39,3,1,4,2835,2561,5,0,22,4,1,1,7,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
119,43,0,2,394,26,2,1,158,3,92,3,4,4,16959,19494,1,1,12,3,4,2,25,3,4,25,12,4,12,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
120,30,0,2,1312,23,3,1,159,1,96,1,1,3,2613,22310,1,0,25,4,3,3,10,2,2,10,7,0,9,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
121,33,0,0,750,22,2,1,160,3,95,3,2,2,6146,15480,0,0,13,3,1,1,8,2,4,7,7,0,7,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
