,Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Attrition
10,35.0,1.0,809.0,16.0,3.0,1.0,14.0,1.0,84.0,4.0,1.0,2.0,2426.0,16479.0,0.0,0.0,13.0,3.0,3.0,80.0,1.0,6.0,5.0,3.0,5.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
11,29.0,1.0,153.0,15.0,2.0,1.0,15.0,4.0,49.0,2.0,2.0,3.0,4193.0,12682.0,0.0,1.0,12.0,3.0,4.0,80.0,0.0,10.0,3.0,3.0,9.0,5.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
12,31.0,1.0,670.0,26.0,1.0,1.0,16.0,1.0,31.0,3.0,1.0,3.0,2911.0,15170.0,1.0,0.0,17.0,3.0,4.0,80.0,1.0,5.0,1.0,2.0,5.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
13,34.0,1.0,1346.0,19.0,2.0,1.0,18.0,2.0,93.0,3.0,1.0,4.0,2661.0,8758.0,0.0,0.0,11.0,3.0,3.0,80.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
14,28.0,1.0,103.0,24.0,3.0,1.0,19.0,3.0,50.0,2.0,1.0,3.0,2028.0,12947.0,5.0,1.0,14.0,3.0,2.0,80.0,0.0,6.0,4.0,3.0,4.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
15,29.0,1.0,1389.0,21.0,4.0,1.0,20.0,2.0,51.0,4.0,3.0,1.0,9980.0,10195.0,1.0,0.0,11.0,3.0,3.0,80.0,1.0,10.0,1.0,3.0,10.0,9.0,8.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
16,32.0,1.0,334.0,5.0,2.0,1.0,21.0,1.0,80.0,4.0,1.0,2.0,3298.0,15053.0,0.0,1.0,12.0,3.0,4.0,80.0,2.0,7.0,5.0,2.0,6.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
17,22.0,0.0,1123.0,16.0,2.0,1.0,22.0,4.0,96.0,4.0,1.0,4.0,2935.0,7324.0,1.0,1.0,13.0,3.0,2.0,80.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
18,53.0,1.0,1219.0,2.0,4.0,1.0,23.0,1.0,78.0,2.0,4.0,4.0,15427.0,22021.0,2.0,0.0,16.0,3.0,3.0,80.0,0.0,31.0,3.0,3.0,25.0,8.0,3.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
19,38.0,1.0,371.0,2.0,3.0,1.0,24.0,4.0,45.0,3.0,1.0,4.0,3944.0,4306.0,5.0,1.0,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
20,24.0,0.0,673.0,11.0,2.0,1.0,26.0,1.0,96.0,4.0,2.0,3.0,4011.0,8232.0,0.0,0.0,18.0,3.0,4.0,80.0,1.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
21,36.0,1.0,1218.0,9.0,4.0,1.0,27.0,3.0,82.0,2.0,1.0,1.0,3407.0,6986.0,7.0,0.0,23.0,4.0,2.0,80.0,0.0,10.0,4.0,3.0,5.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
22,34.0,1.0,419.0,7.0,4.0,1.0,28.0,1.0,53.0,3.0,3.0,2.0,11994.0,21293.0,0.0,0.0,11.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23,21.0,1.0,391.0,15.0,2.0,1.0,30.0,3.0,96.0,3.0,1.0,4.0,1232.0,19281.0,1.0,0.0,14.0,3.0,4.0,80.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
24,34.0,1.0,699.0,6.0,1.0,1.0,31.0,2.0,83.0,3.0,1.0,1.0,2960.0,17102.0,2.0,0.0,11.0,3.0,3.0,80.0,0.0,8.0,2.0,3.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
25,53.0,1.0,1282.0,5.0,3.0,1.0,32.0,3.0,58.0,3.0,5.0,3.0,19094.0,10735.0,4.0,0.0,11.0,3.0,4.0,80.0,1.0,26.0,3.0,2.0,14.0,13.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
26,32.0,2.0,1125.0,16.0,1.0,1.0,33.0,2.0,72.0,1.0,1.0,1.0,3919.0,4681.0,1.0,1.0,22.0,4.0,2.0,80.0,0.0,10.0,5.0,3.0,10.0,2.0,6.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
27,42.0,1.0,691.0,8.0,4.0,1.0,35.0,3.0,48.0,3.0,2.0,2.0,6825.0,21173.0,0.0,0.0,11.0,3.0,4.0,80.0,1.0,10.0,2.0,3.0,9.0,7.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
28,44.0,1.0,477.0,7.0,4.0,1.0,36.0,1.0,42.0,2.0,3.0,4.0,10248.0,2094.0,3.0,0.0,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,22.0,6.0,5.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
29,46.0,1.0,705.0,2.0,4.0,1.0,38.0,2.0,83.0,3.0,5.0,1.0,18947.0,22822.0,3.0,0.0,12.0,3.0,4.0,80.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
30,33.0,1.0,924.0,2.0,3.0,1.0,39.0,3.0,78.0,3.0,1.0,4.0,2496.0,6670.0,4.0,0.0,11.0,3.0,4.0,80.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
31,44.0,1.0,1459.0,10.0,4.0,1.0,40.0,4.0,41.0,3.0,2.0,4.0,6465.0,19121.0,2.0,1.0,13.0,3.0,4.0,80.0,0.0,9.0,5.0,4.0,4.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
32,30.0,1.0,125.0,9.0,2.0,1.0,41.0,4.0,83.0,2.0,1.0,3.0,2206.0,16117.0,1.0,0.0,13.0,3.0,1.0,80.0,0.0,10.0,5.0,3.0,10.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
33,39.0,1.0,895.0,5.0,3.0,1.0,42.0,4.0,56.0,3.0,2.0,4.0,2086.0,3335.0,3.0,0.0,14.0,3.0,3.0,80.0,1.0,19.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
34,24.0,1.0,813.0,1.0,3.0,1.0,45.0,2.0,61.0,3.0,1.0,4.0,2293.0,3020.0,2.0,1.0,16.0,3.0,1.0,80.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
35,43.0,1.0,1273.0,2.0,2.0,1.0,46.0,4.0,72.0,4.0,1.0,3.0,2645.0,21923.0,1.0,0.0,12.0,3.0,4.0,80.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
36,50.0,1.0,869.0,3.0,2.0,1.0,47.0,1.0,86.0,2.0,1.0,3.0,2683.0,3810.0,1.0,1.0,14.0,3.0,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
37,35.0,1.0,890.0,2.0,3.0,1.0,49.0,4.0,97.0,3.0,1.0,4.0,2014.0,9687.0,1.0,0.0,13.0,3.0,1.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
38,36.0,1.0,852.0,5.0,4.0,1.0,51.0,2.0,82.0,2.0,1.0,1.0,3419.0,13072.0,9.0,1.0,14.0,3.0,4.0,80.0,1.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
39,33.0,2.0,1141.0,1.0,3.0,1.0,52.0,3.0,42.0,4.0,2.0,1.0,5376.0,3193.0,2.0,0.0,19.0,3.0,1.0,80.0,2.0,10.0,3.0,3.0,5.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
40,35.0,1.0,464.0,4.0,2.0,1.0,53.0,3.0,75.0,3.0,1.0,4.0,1951.0,10910.0,1.0,0.0,12.0,3.0,3.0,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
41,27.0,1.0,1240.0,2.0,4.0,1.0,54.0,4.0,33.0,3.0,1.0,1.0,2341.0,19715.0,1.0,0.0,13.0,3.0,4.0,80.0,1.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
42,26.0,1.0,1357.0,25.0,3.0,1.0,55.0,1.0,48.0,1.0,1.0,3.0,2293.0,10558.0,1.0,0.0,12.0,3.0,3.0,80.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
43,27.0,2.0,994.0,8.0,3.0,1.0,56.0,4.0,37.0,3.0,3.0,3.0,8726.0,2975.0,1.0,0.0,15.0,3.0,4.0,80.0,0.0,9.0,0.0,3.0,9.0,8.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
44,30.0,2.0,721.0,1.0,2.0,1.0,57.0,3.0,58.0,3.0,2.0,4.0,4011.0,10781.0,1.0,0.0,23.0,4.0,4.0,80.0,0.0,12.0,2.0,3.0,12.0,8.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
45,41.0,1.0,1360.0,12.0,3.0,1.0,58.0,2.0,49.0,3.0,5.0,3.0,19545.0,16280.0,1.0,0.0,12.0,3.0,4.0,80.0,0.0,23.0,0.0,3.0,22.0,15.0,15.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
46,34.0,0.0,1065.0,23.0,4.0,1.0,60.0,2.0,72.0,3.0,2.0,3.0,4568.0,10034.0,0.0,0.0,20.0,4.0,3.0,80.0,0.0,10.0,2.0,3.0,9.0,5.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
47,37.0,1.0,408.0,19.0,2.0,1.0,61.0,2.0,73.0,3.0,1.0,2.0,3022.0,10227.0,4.0,0.0,21.0,4.0,1.0,80.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
48,46.0,2.0,1211.0,5.0,4.0,1.0,62.0,1.0,98.0,3.0,2.0,4.0,5772.0,20445.0,4.0,1.0,21.0,4.0,3.0,80.0,0.0,14.0,4.0,3.0,9.0,6.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
49,35.0,1.0,1229.0,8.0,1.0,1.0,63.0,4.0,36.0,4.0,1.0,4.0,2269.0,4892.0,1.0,0.0,19.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
50,48.0,1.0,626.0,1.0,2.0,1.0,64.0,1.0,98.0,2.0,3.0,3.0,5381.0,19294.0,9.0,1.0,13.0,3.0,4.0,80.0,0.0,23.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
51,28.0,1.0,1434.0,5.0,4.0,1.0,65.0,3.0,50.0,3.0,1.0,3.0,3441.0,11179.0,1.0,1.0,13.0,3.0,3.0,80.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
52,44.0,1.0,1488.0,1.0,5.0,1.0,68.0,2.0,75.0,3.0,2.0,1.0,5454.0,4009.0,5.0,1.0,21.0,4.0,3.0,80.0,1.0,9.0,2.0,2.0,4.0,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
53,35.0,0.0,1097.0,11.0,2.0,1.0,70.0,3.0,79.0,2.0,3.0,1.0,9884.0,8302.0,2.0,1.0,13.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,4.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
54,26.0,1.0,1443.0,23.0,3.0,1.0,72.0,3.0,47.0,2.0,2.0,4.0,4157.0,21436.0,7.0,1.0,19.0,3.0,3.0,80.0,1.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
55,33.0,2.0,515.0,1.0,2.0,1.0,73.0,1.0,98.0,3.0,3.0,4.0,13458.0,15146.0,1.0,1.0,12.0,3.0,3.0,80.0,0.0,15.0,1.0,3.0,15.0,14.0,8.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
56,35.0,2.0,853.0,18.0,5.0,1.0,74.0,2.0,71.0,3.0,3.0,1.0,9069.0,11031.0,1.0,0.0,22.0,4.0,4.0,80.0,1.0,9.0,3.0,2.0,9.0,8.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
57,35.0,1.0,1142.0,23.0,4.0,1.0,75.0,3.0,30.0,3.0,1.0,1.0,4014.0,16002.0,3.0,1.0,15.0,3.0,3.0,80.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
58,31.0,1.0,655.0,7.0,4.0,1.0,76.0,4.0,48.0,3.0,2.0,4.0,5915.0,9528.0,3.0,0.0,22.0,4.0,4.0,80.0,1.0,10.0,3.0,2.0,7.0,7.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
59,37.0,1.0,1115.0,1.0,4.0,1.0,77.0,1.0,51.0,2.0,2.0,3.0,5993.0,2689.0,1.0,0.0,18.0,3.0,3.0,80.0,1.0,7.0,2.0,4.0,7.0,5.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
60,32.0,1.0,427.0,1.0,3.0,1.0,78.0,1.0,33.0,3.0,2.0,4.0,6162.0,10877.0,1.0,1.0,22.0,4.0,2.0,80.0,1.0,9.0,3.0,3.0,9.0,8.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
